Molecule,Value_2024,2024Units,Average Price 2024,Value_2023,2023Units,Average Price 2023,Value_2022,2022Units,Average Price 2022,Value_2021,2021Units,Average Price 2021,Value_2020,2020Units,Average Price 2020,Comp,Private,Adjusted Price,Selling Price,Penetration Rate,Forecasted Units,Revenue,Profit,5-Year Profit,CAGR
PITAVASTATIN,12677880.0,110939.0,114.0,12764285.0,111593.0,114.0,11724502.0,102607.0,114.0,10723464.0,93953.0,114.0,9533893.0,83446.0,114.0,1,0.917932809,82.01438848920864,32.805755395683455,0.08,8875.12,291155.01582733815,145577.50791366908,727887.5395683454,7.385116049983109
PLANTAGO LANCEOLATA,4940703.0,140750.0,35.0,5807946.0,165766.0,35.0,3970610.0,113446.0,35.0,,,,36051.0,1182.0,31.0,3,0.999815816,25.179856115107917,10.071942446043167,0.08,11260.0,113410.07194244605,56705.03597122303,283525.17985611514,242.1510349634501
PLANTAGO MAJOR,152750.0,2350.0,65.0,115635.0,1779.0,65.0,166530.0,2562.0,65.0,87475.0,1373.0,64.0,,,,2,1.0,46.76258992805756,18.705035971223023,0.08,188.0,3516.546762589928,1758.273381294964,8791.366906474821,
PLANTAGO OVATA,12180547.0,312599.0,39.0,9873765.0,289769.0,34.0,6731183.0,318271.0,21.0,6372822.0,314163.0,20.0,5714827.0,282314.0,20.0,8,0.860086333,28.057553956834536,11.223021582733814,0.05,15629.95,175415.26618705038,87707.63309352519,438538.16546762595,20.827537907951267
PLANTAGO PSYLLIUM,1029840.0,22629.0,46.0,705051.0,15629.0,45.0,960580.0,21296.0,45.0,760553.0,17002.0,45.0,632978.0,13986.0,45.0,6,1.0,33.093525179856115,13.237410071942447,0.05,1131.45,14977.467625899282,7488.733812949641,37443.6690647482,12.939350312233344
PLATINUM,39831.0,507.0,79.0,61603.0,713.0,86.0,,,,17600.0,352.0,50.0,7600.0,152.0,50.0,1,1.0,56.834532374100725,22.733812949640292,0.08,40.56,922.0834532374103,461.0417266187051,2305.208633093526,51.304520800511575
PLECANATIDE,154560.0,184.0,840.0,35280.0,42.0,840.0,,,,,,,,,,1,0.967391304,622.2222222222222,248.88888888888889,0.08,14.72,3663.6444444444446,1831.8222222222223,9159.111111111111,
PLUCHEA PTEROPODA,42540.0,4254.0,10.0,82210.0,8221.0,10.0,71670.0,7167.0,10.0,36340.0,3634.0,10.0,28870.0,2887.0,10.0,1,1.0,7.194244604316547,2.877697841726619,0.08,340.32,979.338129496403,489.6690647482015,2448.3453237410076,10.17617108762745
PLUMBAGO ZEYLANICA,236976.0,9874.0,24.0,257544.0,10731.0,24.0,254082.0,10613.0,24.0,280800.0,11700.0,24.0,257064.0,10711.0,24.0,2,1.0,17.266187050359715,6.906474820143886,0.08,789.9200000000001,5455.562589928059,2727.7812949640297,13638.906474820149,-2.013605906474969
POLAPREZINC,2870490.0,22523.0,127.0,1595122.0,12498.0,128.0,677025.0,5366.0,126.0,4650.0,62.0,75.0,12375.0,165.0,75.0,3,0.996413156,91.36690647482015,36.546762589928065,0.08,1801.8400000000001,65851.41870503599,32925.709352517995,164628.54676258998,290.25880255909686
